Date,AAPL,WMT,TSLA,AMZN,GE,DB
2012-01-03 00:00:00-05:00,12.375389099121094,15.2570219039917,1.871999979019165,8.951499938964844,68.03702545166016,30.701751708984375
2012-01-04 00:00:00-05:00,12.441892623901367,15.100232124328613,1.8473329544067383,8.875499725341797,68.77820587158203,29.776762008666992
2012-01-05 00:00:00-05:00,12.580025672912598,15.026884078979492,1.8079999685287476,8.880499839782715,68.74112701416016,27.926795959472656
2012-01-06 00:00:00-05:00,12.71153450012207,14.920676231384277,1.7940000295639038,9.130499839782715,69.1116714477539,26.40828514099121
2012-01-09 00:00:00-05:00,12.691374778747559,14.966193199157715,1.8166669607162476,8.928000450134277,69.88990020751953,25.930376052856445
2012-01-10 00:00:00-05:00,12.736815452575684,14.930784225463867,1.841333031654358,8.967000007629395,69.37112426757812,27.109725952148438
2012-01-11 00:00:00-05:00,12.71605110168457,15.021831512451172,1.8819999694824219,8.944999694824219,69.96402740478516,27.657011032104492
2012-01-12 00:00:00-05:00,12.681142807006836,15.047119140625,1.8833329677581787,8.796500205993652,70.14928436279297,28.520326614379883
2012-01-13 00:00:00-05:00,12.633591651916504,15.057229995727539,1.519333004951477,8.920999526977539,69.81578063964844,28.304500579833984
2012-01-17 00:00:00-05:00,12.78075122833252,15.135634422302246,1.773332953453064,9.083000183105469,69.4452133178711,28.951982498168945
2012-01-18 00:00:00-05:00,12.913464546203613,15.176088333129883,1.7873330116271973,9.472000122070312,70.48282623291016,30.061967849731445
2012-01-19 00:00:00-05:00,12.872536659240723,15.327836990356445,1.784000039100647,9.72249984741211,70.9645767211914,32.38212966918945
2012-01-20 00:00:00-05:00,12.64833927154541,15.42899227142334,1.773332953453064,9.546500205993652,70.9645767211914,32.75983428955078
2012-01-23 00:00:00-05:00,12.86230182647705,15.40369701385498,1.7846670150756836,9.304499626159668,70.18634033203125,33.49211502075195
2012-01-24 00:00:00-05:00,12.65164852142334,15.525090217590332,1.8279999494552612,9.350000381469727,69.81578063964844,32.95254135131836
2012-01-25 00:00:00-05:00,13.441604614257812,15.545323371887207,1.8646670579910278,9.390000343322754,70.89044189453125,33.630863189697266
2012-01-26 00:00:00-05:00,13.380516052246094,15.41887092590332,1.929332971572876,9.666000366210938,70.66810607910156,33.45357131958008
2012-01-27 00:00:00-05:00,13.46026611328125,15.35311508178711,1.9553329944610596,9.768500328063965,70.51985931396484,34.255226135253906
2012-01-30 00:00:00-05:00,13.632701873779297,15.502328872680664,1.9713330268859863,9.607500076293945,70.03814697265625,32.86774826049805
2012-01-31 00:00:00-05:00,13.737126350402832,15.517500877380371,1.937999963760376,9.722000122070312,69.33405303955078,32.90629577636719
2012-02-01 00:00:00-05:00,13.72840404510498,15.724875450134277,1.972000002861023,8.972999572753906,69.55636596679688,34.316890716552734
2012-02-02 00:00:00-05:00,13.696200370788574,15.6641845703125,2.016666889190674,9.086000442504883,69.4822769165039,34.12418746948242
2012-02-03 00:00:00-05:00,13.833427429199219,15.68693733215332,2.076667070388794,9.383999824523926,70.48282623291016,34.679176330566406
2012-02-06 00:00:00-05:00,13.96252727508545,15.649004936218262,2.119999885559082,9.156999588012695,70.5939712524414,34.06251907348633
2012-02-07 00:00:00-05:00,14.108781814575195,15.600953102111816,2.1066670417785645,9.209500312805176,71.07573699951172,34.56355285644531
2012-02-08 00:00:00-05:00,14.34501838684082,15.58325481414795,2.128667116165161,9.27400016784668,71.29808044433594,35.658119201660156
2012-02-09 00:00:00-05:00,14.841259002685547,15.669239044189453,2.171999931335449,9.24899959564209,70.89044189453125,35.77374267578125
2012-02-10 00:00:00-05:00,14.848784446716309,15.654068946838379,2.0733330249786377,9.277000427246094,69.96402740478516,34.016273498535156
2012-02-13 00:00:00-05:00,15.125041007995605,15.626241683959961,2.0993330478668213,9.579500198364258,70.66810607910156,34.33230972290039
2012-02-14 00:00:00-05:00,15.331489562988281,15.734990119934082,2.2113330364227295,9.5649995803833,70.18634033203125,33.33024215698242
2012-02-15 00:00:00-05:00,14.97668170928955,15.61865234375,2.240000009536743,9.22350025177002,69.51934051513672,33.10670471191406
2012-02-16 00:00:00-05:00,15.113301277160645,15.68946647644043,2.2786669731140137,8.996500015258789,70.44575500488281,34.0008544921875
2012-02-17 00:00:00-05:00,15.110596656799316,15.800742149353027,2.3313329219818115,9.125,71.4462890625,34.370853424072266
2012-02-21 00:00:00-05:00,15.49368667602539,15.191263198852539,2.299999952316284,9.11299991607666,71.92804718017578,34.05481719970703
2012-02-22 00:00:00-05:00,15.439218521118164,14.819513320922852,2.2813329696655273,9.029000282287598,71.85391998291016,33.692527770996094
2012-02-23 00:00:00-05:00,15.540029525756836,14.804343223571777,2.302000045776367,8.944499969482422,72.19039154052734,34.50959777832031
2012-02-24 00:00:00-05:00,15.721196174621582,14.867563247680664,2.25,8.956500053405762,71.9287109375,36.08207321166992
2012-02-27 00:00:00-05:00,15.82201099395752,14.784109115600586,2.2413330078125,8.92650032043457,71.29317474365234,35.997276306152344
2012-02-28 00:00:00-05:00,16.11240577697754,14.902974128723145,2.253999948501587,9.1899995803833,71.6296157836914,36.344154357910156
2012-02-29 00:00:00-05:00,16.323965072631836,14.940902709960938,2.2273330688476562,8.98449993133545,71.2183837890625,36.028106689453125
2012-03-01 00:00:00-05:00,16.385059356689453,14.875149726867676,2.2939999103546143,9.001999855041504,71.48006439208984,36.929969787597656
2012-03-02 00:00:00-05:00,16.40642547607422,14.923205375671387,2.2693328857421875,8.96500015258789,70.91931915283203,36.33644485473633
2012-03-05 00:00:00-05:00,16.044700622558594,15.021831512451172,2.251332998275757,9.012999534606934,70.47069549560547,35.93561553955078
2012-03-06 00:00:00-05:00,15.957428932189941,14.913087844848633,2.2073330879211426,9.054499626159668,68.86312103271484,33.592323303222656
2012-03-07 00:00:00-05:00,15.970375061035156,15.138164520263672,2.2079999446868896,9.18850040435791,70.17158508300781,34.60980224609375
2012-03-08 00:00:00-05:00,16.31043243408203,15.216568946838379,2.204667091369629,9.381999969482422,71.14359283447266,36.35956573486328
2012-03-09 00:00:00-05:00,16.4061279296875,15.295494079589844,2.315999984741211,9.215999603271484,71.18101501464844,35.60416030883789
2012-03-12 00:00:00-04:00,16.611665725708008,15.448241233825684,2.4006669521331787,9.169500350952148,71.5174789428711,36.2285270690918
2012-03-13 00:00:00-04:00,17.096174240112305,15.529715538024902,2.4059998989105225,9.229499816894531,73.23719024658203,37.808712005615234
2012-03-14 00:00:00-04:00,17.74258804321289,15.550080299377441,2.3526670932769775,9.11299991607666,73.9848861694336,38.35598373413086
2012-03-15 00:00:00-04:00,17.621612548828125,15.588273048400879,2.3333330154418945,9.221500396728516,75.36813354492188,38.90327072143555
2012-03-16 00:00:00-04:00,17.621912002563477,15.488974571228027,2.3546669483184814,9.2524995803833,75.51768493652344,39.3426399230957
2012-03-19 00:00:00-04:00,18.089258193969727,15.463518142700195,2.3320000171661377,9.276000022888184,75.55504608154297,40.12116241455078
2012-03-20 00:00:00-04:00,18.235517501831055,15.42788314819336,2.330667018890381,9.616499900817871,75.03164672851562,39.65095901489258
2012-03-21 00:00:00-04:00,18.131393432617188,15.417694091796875,2.3433330059051514,9.58650016784668,75.03164672851562,39.25013732910156
2012-03-22 00:00:00-04:00,18.036300659179688,15.440610885620117,2.293333053588867,9.619999885559082,74.20918273925781,38.687442779541016
2012-03-23 00:00:00-04:00,17.937288284301758,15.466060638427734,2.2720000743865967,9.751999855041504,73.94750213623047,39.25784683227539
2012-03-26 00:00:00-04:00,18.266212463378906,15.580629348754883,2.493333101272583,10.143500328063965,74.9569091796875,40.205955505371094
2012-03-27 00:00:00-04:00,18.49191665649414,15.55262565612793,2.5293331146240234,10.272000312805176,74.91950988769531,39.4582633972168
2012-03-28 00:00:00-04:00,18.58641242980957,15.578085899353027,2.5233330726623535,10.057999610900879,74.80735778808594,39.242427825927734
2012-03-29 00:00:00-04:00,18.352880477905273,15.483887672424316,2.4886670112609863,10.230500221252441,74.5830307006836,38.16328430175781
2012-03-30 00:00:00-04:00,18.042619705200195,15.580629348754883,2.4826669692993164,10.125499725341797,75.03164672851562,38.37910461425781
2012-04-02 00:00:00-04:00,18.616802215576172,15.621362686157227,2.438667058944702,9.90250015258789,74.84471893310547,38.525569915771484
2012-04-03 00:00:00-04:00,18.938499450683594,15.440610885620117,2.5339999198913574,9.982999801635742,74.62042999267578,37.21517562866211
2012-04-04 00:00:00-04:00,18.787729263305664,15.341320991516113,2.3333330154418945,9.69950008392334,73.79794311523438,35.735198974609375
2012-04-05 00:00:00-04:00,19.069711685180664,15.445707321166992,2.2986669540405273,9.719499588012695,72.86332702636719,35.25728988647461
2012-04-09 00:00:00-04:00,19.146448135375977,15.308222770690918,2.2100000381469727,9.593500137329102,71.7791748046875,34.67146301269531
2012-04-10 00:00:00-04:00,18.912025451660156,15.257305145263672,2.1640000343322754,9.348999977111816,70.05946350097656,33.53065872192383
2012-04-11 00:00:00-04:00,18.84461212158203,15.22420597076416,2.2060000896453857,9.398500442504883,71.06884765625,34.733131408691406
2012-04-12 00:00:00-04:00,18.741390228271484,15.310771942138672,2.22933292388916,9.534500122070312,72.15302276611328,35.81228256225586
2012-04-13 00:00:00-04:00,18.213550567626953,15.216568946838379,2.239332914352417,9.42300033569336,70.58283996582031,34.147308349609375
2012-04-16 00:00:00-04:00,17.458202362060547,15.422779083251953,2.1500000953674316,9.274999618530273,70.65760803222656,34.2166862487793
